"data_attributes_time","data_attributes_direction_id","data_attributes_stop_sequence","data_attributes_schedule_id","data_attributes_route_id","data_attributes_stop_id","data_attributes_trip_id"
"2019-11-18T10:01:00-05:00",0,16,"schedule-41893181-1255-16",43,1255,41893181
"2019-11-18T10:02:00-05:00",0,17,"schedule-41893181-17863-17",43,17863,41893181
"2019-11-18T07:19:00-05:00",0,1,"schedule-41893182-10000-1",43,10000,41893182
"2019-11-18T07:20:00-05:00",0,2,"schedule-41893182-8279-2",43,8279,41893182
"2019-11-18T07:21:00-05:00",0,3,"schedule-41893182-8281-3",43,8281,41893182
"2019-11-18T07:22:00-05:00",0,4,"schedule-41893182-1242-4",43,1242,41893182
"2019-11-18T07:23:00-05:00",0,5,"schedule-41893182-168-5",43,168,41893182
"2019-11-18T07:23:00-05:00",0,6,"schedule-41893182-11245-6",43,11245,41893182
"2019-11-18T07:24:00-05:00",0,7,"schedule-41893182-1246-7",43,1246,41893182
"2019-11-18T07:25:00-05:00",0,8,"schedule-41893182-1247-8",43,1247,41893182
"2019-11-18T07:26:00-05:00",0,9,"schedule-41893182-1248-9",43,1248,41893182
"2019-11-18T07:27:00-05:00",0,10,"schedule-41893182-1249-10",43,1249,41893182
"2019-11-18T07:28:00-05:00",0,11,"schedule-41893182-1250-11",43,1250,41893182
"2019-11-18T07:28:00-05:00",0,12,"schedule-41893182-1251-12",43,1251,41893182
"2019-11-18T07:29:00-05:00",0,13,"schedule-41893182-1252-13",43,1252,41893182
"2019-11-18T07:30:00-05:00",0,14,"schedule-41893182-1253-14",43,1253,41893182
"2019-11-18T07:31:00-05:00",0,15,"schedule-41893182-1254-15",43,1254,41893182
"2019-11-18T07:32:00-05:00",0,16,"schedule-41893182-1255-16",43,1255,41893182
"2019-11-18T07:33:00-05:00",0,17,"schedule-41893182-17863-17",43,17863,41893182
"2019-11-19T00:30:00-05:00",1,1,"schedule-41893183-17863-1",43,17863,41893183
"2019-11-19T00:31:00-05:00",1,2,"schedule-41893183-1226-2",43,1226,41893183
"2019-11-19T00:31:00-05:00",1,3,"schedule-41893183-1227-3",43,1227,41893183
"2019-11-19T00:32:00-05:00",1,4,"schedule-41893183-1228-4",43,1228,41893183
"2019-11-19T00:32:00-05:00",1,5,"schedule-41893183-11228-5",43,11228,41893183
"2019-11-19T00:33:00-05:00",1,6,"schedule-41893183-1230-6",43,1230,41893183
"2019-11-19T00:33:00-05:00",1,7,"schedule-41893183-1231-7",43,1231,41893183
"2019-11-19T00:33:00-05:00",1,8,"schedule-41893183-1232-8",43,1232,41893183
"2019-11-19T00:34:00-05:00",1,9,"schedule-41893183-1233-9",43,1233,41893183
"2019-11-19T00:34:00-05:00",1,10,"schedule-41893183-1234-10",43,1234,41893183
"2019-11-19T00:34:00-05:00",1,11,"schedule-41893183-1235-11",43,1235,41893183
"2019-11-19T00:35:00-05:00",1,12,"schedule-41893183-1236-12",43,1236,41893183
"2019-11-19T00:35:00-05:00",1,13,"schedule-41893183-1237-13",43,1237,41893183
"2019-11-19T00:36:00-05:00",1,14,"schedule-41893183-1238-14",43,1238,41893183
"2019-11-19T00:37:00-05:00",1,15,"schedule-41893183-1239-15",43,1239,41893183
"2019-11-19T00:38:00-05:00",1,16,"schedule-41893183-1241-16",43,1241,41893183
"2019-11-19T00:40:00-05:00",1,17,"schedule-41893183-9980-17",43,9980,41893183
"2019-11-19T00:41:00-05:00",1,18,"schedule-41893183-9981-18",43,9981,41893183
"2019-11-19T00:42:00-05:00",1,19,"schedule-41893183-9982-19",43,9982,41893183
"2019-11-19T00:43:00-05:00",1,20,"schedule-41893183-10000-20",43,10000,41893183
"2019-11-18T07:01:00-05:00",1,1,"schedule-41893184-17863-1",43,17863,41893184
"2019-11-18T07:02:00-05:00",1,2,"schedule-41893184-1226-2",43,1226,41893184
"2019-11-18T07:03:00-05:00",1,3,"schedule-41893184-1227-3",43,1227,41893184
"2019-11-18T07:04:00-05:00",1,4,"schedule-41893184-1228-4",43,1228,41893184
"2019-11-18T07:04:00-05:00",1,5,"schedule-41893184-11228-5",43,11228,41893184
"2019-11-18T07:05:00-05:00",1,6,"schedule-41893184-1230-6",43,1230,41893184
"2019-11-18T07:05:00-05:00",1,7,"schedule-41893184-1231-7",43,1231,41893184
"2019-11-18T07:06:00-05:00",1,8,"schedule-41893184-1232-8",43,1232,41893184
"2019-11-18T07:06:00-05:00",1,9,"schedule-41893184-1233-9",43,1233,41893184
"2019-11-18T07:06:00-05:00",1,10,"schedule-41893184-1234-10",43,1234,41893184
"2019-11-18T07:07:00-05:00",1,11,"schedule-41893184-1235-11",43,1235,41893184
"2019-11-18T07:08:00-05:00",1,12,"schedule-41893184-1236-12",43,1236,41893184
"2019-11-18T07:09:00-05:00",1,13,"schedule-41893184-1237-13",43,1237,41893184
"2019-11-18T07:10:00-05:00",1,14,"schedule-41893184-1238-14",43,1238,41893184
"2019-11-18T07:10:00-05:00",1,15,"schedule-41893184-1239-15",43,1239,41893184
"2019-11-18T07:12:00-05:00",1,16,"schedule-41893184-1241-16",43,1241,41893184
"2019-11-18T07:14:00-05:00",1,17,"schedule-41893184-9980-17",43,9980,41893184
"2019-11-18T07:16:00-05:00",1,18,"schedule-41893184-9981-18",43,9981,41893184
"2019-11-18T07:17:00-05:00",1,19,"schedule-41893184-9982-19",43,9982,41893184
"2019-11-18T07:18:00-05:00",1,20,"schedule-41893184-10000-20",43,10000,41893184
"2019-11-18T22:54:00-05:00",0,1,"schedule-41893185-10000-1",43,10000,41893185
"2019-11-18T22:55:00-05:00",0,2,"schedule-41893185-8279-2",43,8279,41893185
"2019-11-18T22:56:00-05:00",0,3,"schedule-41893185-8281-3",43,8281,41893185
"2019-11-18T22:57:00-05:00",0,4,"schedule-41893185-1242-4",43,1242,41893185
"2019-11-18T22:57:00-05:00",0,5,"schedule-41893185-168-5",43,168,41893185
"2019-11-18T22:58:00-05:00",0,6,"schedule-41893185-11245-6",43,11245,41893185
"2019-11-18T22:59:00-05:00",0,7,"schedule-41893185-1246-7",43,1246,41893185
"2019-11-18T22:59:00-05:00",0,8,"schedule-41893185-1247-8",43,1247,41893185
"2019-11-18T23:00:00-05:00",0,9,"schedule-41893185-1248-9",43,1248,41893185
"2019-11-18T23:01:00-05:00",0,10,"schedule-41893185-1249-10",43,1249,41893185
"2019-11-18T23:02:00-05:00",0,11,"schedule-41893185-1250-11",43,1250,41893185
"2019-11-18T23:02:00-05:00",0,12,"schedule-41893185-1251-12",43,1251,41893185
"2019-11-18T23:03:00-05:00",0,13,"schedule-41893185-1252-13",43,1252,41893185
"2019-11-18T23:03:00-05:00",0,14,"schedule-41893185-1253-14",43,1253,41893185
"2019-11-18T23:04:00-05:00",0,15,"schedule-41893185-1254-15",43,1254,41893185
"2019-11-18T23:05:00-05:00",0,16,"schedule-41893185-1255-16",43,1255,41893185
"2019-11-18T23:06:00-05:00",0,17,"schedule-41893185-17863-17",43,17863,41893185
"2019-11-18T05:12:00-05:00",0,1,"schedule-41893186-10000-1",43,10000,41893186
"2019-11-18T05:12:00-05:00",0,2,"schedule-41893186-8279-2",43,8279,41893186
"2019-11-18T05:13:00-05:00",0,3,"schedule-41893186-8281-3",43,8281,41893186
"2019-11-18T05:13:00-05:00",0,4,"schedule-41893186-1242-4",43,1242,41893186
"2019-11-18T05:14:00-05:00",0,5,"schedule-41893186-168-5",43,168,41893186
"2019-11-18T05:14:00-05:00",0,6,"schedule-41893186-11245-6",43,11245,41893186
"2019-11-18T05:15:00-05:00",0,7,"schedule-41893186-1246-7",43,1246,41893186
"2019-11-18T05:15:00-05:00",0,8,"schedule-41893186-1247-8",43,1247,41893186
"2019-11-18T05:15:00-05:00",0,9,"schedule-41893186-1248-9",43,1248,41893186
"2019-11-18T05:16:00-05:00",0,10,"schedule-41893186-1249-10",43,1249,41893186
"2019-11-18T05:16:00-05:00",0,11,"schedule-41893186-1250-11",43,1250,41893186
"2019-11-18T05:16:00-05:00",0,12,"schedule-41893186-1251-12",43,1251,41893186
"2019-11-18T05:17:00-05:00",0,13,"schedule-41893186-1252-13",43,1252,41893186
"2019-11-18T05:17:00-05:00",0,14,"schedule-41893186-1253-14",43,1253,41893186
"2019-11-18T05:18:00-05:00",0,15,"schedule-41893186-1254-15",43,1254,41893186
"2019-11-18T05:19:00-05:00",0,16,"schedule-41893186-1255-16",43,1255,41893186
"2019-11-18T05:20:00-05:00",0,17,"schedule-41893186-17863-17",43,17863,41893186
"2019-11-18T06:42:00-05:00",1,1,"schedule-41893187-17863-1",43,17863,41893187
"2019-11-18T06:43:00-05:00",1,2,"schedule-41893187-1226-2",43,1226,41893187
"2019-11-18T06:44:00-05:00",1,3,"schedule-41893187-1227-3",43,1227,41893187
"2019-11-18T06:45:00-05:00",1,4,"schedule-41893187-1228-4",43,1228,41893187
"2019-11-18T06:45:00-05:00",1,5,"schedule-41893187-11228-5",43,11228,41893187
"2019-11-18T06:46:00-05:00",1,6,"schedule-41893187-1230-6",43,1230,41893187
"2019-11-18T06:46:00-05:00",1,7,"schedule-41893187-1231-7",43,1231,41893187
"2019-11-18T06:47:00-05:00",1,8,"schedule-41893187-1232-8",43,1232,41893187
"2019-11-18T06:47:00-05:00",1,9,"schedule-41893187-1233-9",43,1233,41893187
"2019-11-18T06:47:00-05:00",1,10,"schedule-41893187-1234-10",43,1234,41893187
"2019-11-18T06:48:00-05:00",1,11,"schedule-41893187-1235-11",43,1235,41893187
"2019-11-18T06:49:00-05:00",1,12,"schedule-41893187-1236-12",43,1236,41893187
"2019-11-18T06:50:00-05:00",1,13,"schedule-41893187-1237-13",43,1237,41893187
"2019-11-18T06:51:00-05:00",1,14,"schedule-41893187-1238-14",43,1238,41893187
"2019-11-18T06:51:00-05:00",1,15,"schedule-41893187-1239-15",43,1239,41893187
"2019-11-18T06:53:00-05:00",1,16,"schedule-41893187-1241-16",43,1241,41893187
"2019-11-18T06:55:00-05:00",1,17,"schedule-41893187-9980-17",43,9980,41893187
"2019-11-18T06:57:00-05:00",1,18,"schedule-41893187-9981-18",43,9981,41893187
"2019-11-18T06:58:00-05:00",1,19,"schedule-41893187-9982-19",43,9982,41893187
"2019-11-18T06:59:00-05:00",1,20,"schedule-41893187-10000-20",43,10000,41893187
"2019-11-18T16:20:00-05:00",0,1,"schedule-41893188-10000-1",43,10000,41893188
"2019-11-18T16:21:00-05:00",0,2,"schedule-41893188-8279-2",43,8279,41893188
"2019-11-18T16:23:00-05:00",0,3,"schedule-41893188-8281-3",43,8281,41893188
"2019-11-18T16:24:00-05:00",0,4,"schedule-41893188-1242-4",43,1242,41893188
